"district","age","life_exp","gender","municipality_id"
"Fuencarral-El Pardo","15 a 19 años",68.06,"Hombre","28079"
"Moncloa-Aravaca","15 a 19 años",67.99,"Hombre","28079"
"Latina","15 a 19 años",66.77,"Hombre","28079"
"Carabanchel","15 a 19 años",65.59,"Hombre","28079"
"Usera","15 a 19 años",65.54,"Hombre","28079"
"Puente de Vallecas","15 a 19 años",64.39,"Hombre","28079"
"Moratalaz","15 a 19 años",66.32,"Hombre","28079"
"Ciudad Lineal","15 a 19 años",66.77,"Hombre","28079"
"Hortaleza","15 a 19 años",65.78,"Hombre","28079"
"Villaverde","15 a 19 años",65.67,"Hombre","28079"
"Villa de Vallecas","15 a 19 años",65.99,"Hombre","28079"
"Vicálvaro","15 a 19 años",68.02,"Hombre","28079"
"San Blas-Canillejas ","15 a 19 años",65.43,"Hombre","28079"
"Barajas","15 a 19 años",66.13,"Hombre","28079"
"Centro","20 a 24 años",60.1,"Hombre","28079"
"Arganzuela","20 a 24 años",61.72,"Hombre","28079"
"Retiro","20 a 24 años",62.79,"Hombre","28079"
"Salamanca","20 a 24 años",62.65,"Hombre","28079"
"Chamartín","20 a 24 años",62.11,"Hombre","28079"
"Tetuán","20 a 24 años",60.69,"Hombre","28079"
"Chamberí","20 a 24 años",61.83,"Hombre","28079"
"Fuencarral-El Pardo","20 a 24 años",63.06,"Hombre","28079"
"Moncloa-Aravaca","20 a 24 años",62.99,"Hombre","28079"
"Latina","20 a 24 años",61.84,"Hombre","28079"
"Carabanchel","20 a 24 años",60.59,"Hombre","28079"
"Usera","20 a 24 años",60.54,"Hombre","28079"
"Puente de Vallecas","20 a 24 años",59.5,"Hombre","28079"
"Moratalaz","20 a 24 años",61.32,"Hombre","28079"
"Ciudad Lineal","20 a 24 años",61.91,"Hombre","28079"
"Hortaleza","20 a 24 años",60.86,"Hombre","28079"
"Villaverde","20 a 24 años",60.76,"Hombre","28079"
"Villa de Vallecas","20 a 24 años",60.99,"Hombre","28079"
"Vicálvaro","20 a 24 años",63.02,"Hombre","28079"
"San Blas-Canillejas ","20 a 24 años",60.6,"Hombre","28079"
"Barajas","20 a 24 años",61.13,"Hombre","28079"
"Centro","25 a 29 años",55.2,"Hombre","28079"
"Arganzuela","25 a 29 años",56.72,"Hombre","28079"
"Retiro","25 a 29 años",58.03,"Hombre","28079"
"Salamanca","25 a 29 años",57.65,"Hombre","28079"
"Chamartín","25 a 29 años",57.39,"Hombre","28079"
"Tetuán","25 a 29 años",55.86,"Hombre","28079"
"Chamberí","25 a 29 años",56.93,"Hombre","28079"
"Fuencarral-El Pardo","25 a 29 años",58.18,"Hombre","28079"
"Moncloa-Aravaca","25 a 29 años",58.2,"Hombre","28079"
"Latina","25 a 29 años",56.95,"Hombre","28079"
"Carabanchel","25 a 29 años",55.64,"Hombre","28079"
"Usera","25 a 29 años",55.63,"Hombre","28079"
"Puente de Vallecas","25 a 29 años",54.63,"Hombre","28079"
"Moratalaz","25 a 29 años",56.56,"Hombre","28079"
"Ciudad Lineal","25 a 29 años",57.02,"Hombre","28079"
"Hortaleza","25 a 29 años",55.93,"Hombre","28079"
"Villaverde","25 a 29 años",55.76,"Hombre","28079"
"Villa de Vallecas","25 a 29 años",55.99,"Hombre","28079"
"Vicálvaro","25 a 29 años",58.02,"Hombre","28079"
"San Blas-Canillejas ","25 a 29 años",55.6,"Hombre","28079"
"Barajas","25 a 29 años",56.13,"Hombre","28079"
"Centro","30 a 34 años",50.25,"Hombre","28079"
"Arganzuela","30 a 34 años",51.72,"Hombre","28079"
"Retiro","30 a 34 años",53.2,"Hombre","28079"
"Salamanca","30 a 34 años",52.77,"Hombre","28079"
"Chamartín","30 a 34 años",52.46,"Hombre","28079"
"Tetuán","30 a 34 años",50.86,"Hombre","28079"
"Chamberí","30 a 34 años",52.11,"Hombre","28079"
"Fuencarral-El Pardo","30 a 34 años",53.22,"Hombre","28079"
"Moncloa-Aravaca","30 a 34 años",53.28,"Hombre","28079"
"Latina","30 a 34 años",51.95,"Hombre","28079"
"Carabanchel","30 a 34 años",50.68,"Hombre","28079"
"Usera","30 a 34 años",50.7,"Hombre","28079"
"Puente de Vallecas","30 a 34 años",49.71,"Hombre","28079"
"Moratalaz","30 a 34 años",51.56,"Hombre","28079"
"Ciudad Lineal","30 a 34 años",52.17,"Hombre","28079"
"Hortaleza","30 a 34 años",50.99,"Hombre","28079"
"Villaverde","30 a 34 años",50.97,"Hombre","28079"
"Villa de Vallecas","30 a 34 años",51.17,"Hombre","28079"
"Vicálvaro","30 a 34 años",53.2,"Hombre","28079"
"San Blas-Canillejas ","30 a 34 años",50.6,"Hombre","28079"
"Barajas","30 a 34 años",51.13,"Hombre","28079"
"Centro","35 a 39 años",45.28,"Hombre","28079"
"Arganzuela","35 a 39 años",46.83,"Hombre","28079"
"Retiro","35 a 39 años",48.33,"Hombre","28079"
"Salamanca","35 a 39 años",47.86,"Hombre","28079"
"Chamartín","35 a 39 años",47.51,"Hombre","28079"
"Tetuán","35 a 39 años",45.93,"Hombre","28079"
"Chamberí","35 a 39 años",47.16,"Hombre","28079"
"Fuencarral-El Pardo","35 a 39 años",48.39,"Hombre","28079"
"Moncloa-Aravaca","35 a 39 años",48.42,"Hombre","28079"
"Latina","35 a 39 años",47.15,"Hombre","28079"
"Carabanchel","35 a 39 años",45.83,"Hombre","28079"
"Usera","35 a 39 años",45.86,"Hombre","28079"
"Puente de Vallecas","35 a 39 años",44.8,"Hombre","28079"
"Moratalaz","35 a 39 años",46.56,"Hombre","28079"
"Ciudad Lineal","35 a 39 años",47.2,"Hombre","28079"
"Hortaleza","35 a 39 años",46.08,"Hombre","28079"
"Villaverde","35 a 39 años",46.13,"Hombre","28079"
"Villa de Vallecas","35 a 39 años",46.17,"Hombre","28079"
"Vicálvaro","35 a 39 años",48.2,"Hombre","28079"
"San Blas-Canillejas ","35 a 39 años",45.7,"Hombre","28079"
"Barajas","35 a 39 años",46.28,"Hombre","28079"
"Centro","40 a 44 años",40.31,"Hombre","28079"
"Arganzuela","40 a 44 años",42,"Hombre","28079"
"Retiro","40 a 44 años",43.49,"Hombre","28079"
"Salamanca","40 a 44 años",42.95,"Hombre","28079"
"Chamartín","40 a 44 años",42.55,"Hombre","28079"
"Tetuán","40 a 44 años",40.99,"Hombre","28079"
"Chamberí","40 a 44 años",42.2,"Hombre","28079"
"Fuencarral-El Pardo","40 a 44 años",43.52,"Hombre","28079"
"Moncloa-Aravaca","40 a 44 años",43.42,"Hombre","28079"
"Latina","40 a 44 años",42.3,"Hombre","28079"
"Carabanchel","40 a 44 años",40.92,"Hombre","28079"
"Usera","40 a 44 años",41.06,"Hombre","28079"
"Puente de Vallecas","40 a 44 años",39.96,"Hombre","28079"
"Moratalaz","40 a 44 años",41.87,"Hombre","28079"
"Ciudad Lineal","40 a 44 años",42.32,"Hombre","28079"
"Hortaleza","40 a 44 años",41.14,"Hombre","28079"
"Villaverde","40 a 44 años",41.24,"Hombre","28079"
"Villa de Vallecas","40 a 44 años",41.28,"Hombre","28079"
"Vicálvaro","40 a 44 años",43.28,"Hombre","28079"
"San Blas-Canillejas ","40 a 44 años",40.93,"Hombre","28079"
"Barajas","40 a 44 años",41.28,"Hombre","28079"
"Centro","45 a 49 años",35.44,"Hombre","28079"
"Arganzuela","45 a 49 años",37.1,"Hombre","28079"
"Retiro","45 a 49 años",38.59,"Hombre","28079"
"Salamanca","45 a 49 años",38.12,"Hombre","28079"
"Chamartín","45 a 49 años",37.63,"Hombre","28079"
"Tetuán","45 a 49 años",36.25,"Hombre","28079"
"Chamberí","45 a 49 años",37.37,"Hombre","28079"
"Fuencarral-El Pardo","45 a 49 años",38.61,"Hombre","28079"
"Moncloa-Aravaca","45 a 49 años",38.57,"Hombre","28079"
"Latina","45 a 49 años",37.49,"Hombre","28079"
"Carabanchel","45 a 49 años",36.17,"Hombre","28079"
"Usera","45 a 49 años",36.25,"Hombre","28079"
"Puente de Vallecas","45 a 49 años",35.22,"Hombre","28079"
"Moratalaz","45 a 49 años",36.99,"Hombre","28079"
"Ciudad Lineal","45 a 49 años",37.37,"Hombre","28079"
"Hortaleza","45 a 49 años",36.37,"Hombre","28079"
"Villaverde","45 a 49 años",36.36,"Hombre","28079"
"Villa de Vallecas","45 a 49 años",36.39,"Hombre","28079"
"Vicálvaro","45 a 49 años",38.28,"Hombre","28079"
"San Blas-Canillejas ","45 a 49 años",36.08,"Hombre","28079"
"Barajas","45 a 49 años",36.73,"Hombre","28079"
"Centro","50 a 54 años",30.77,"Hombre","28079"
"Arganzuela","50 a 54 años",32.24,"Hombre","28079"
"Retiro","50 a 54 años",33.87,"Hombre","28079"
"Salamanca","50 a 54 años",33.24,"Hombre","28079"
"Chamartín","50 a 54 años",33.13,"Hombre","28079"
"Tetuán","50 a 54 años",31.56,"Hombre","28079"
"Chamberí","50 a 54 años",32.62,"Hombre","28079"
"Fuencarral-El Pardo","50 a 54 años",33.81,"Hombre","28079"
"Moncloa-Aravaca","50 a 54 años",33.83,"Hombre","28079"
"Latina","50 a 54 años",32.74,"Hombre","28079"
"Carabanchel","50 a 54 años",31.55,"Hombre","28079"
"Usera","50 a 54 años",31.73,"Hombre","28079"
"Puente de Vallecas","50 a 54 años",30.81,"Hombre","28079"
"Moratalaz","50 a 54 años",32.33,"Hombre","28079"
"Ciudad Lineal","50 a 54 años",32.74,"Hombre","28079"
"Hortaleza","50 a 54 años",31.8,"Hombre","28079"
"Villaverde","50 a 54 años",31.64,"Hombre","28079"
"Villa de Vallecas","50 a 54 años",31.72,"Hombre","28079"
"Vicálvaro","50 a 54 años",33.44,"Hombre","28079"
"San Blas-Canillejas ","50 a 54 años",31.51,"Hombre","28079"
"Barajas","50 a 54 años",32.45,"Hombre","28079"
"Centro","55 a 59 años",26.42,"Hombre","28079"
"Arganzuela","55 a 59 años",27.83,"Hombre","28079"
"Retiro","55 a 59 años",29.69,"Hombre","28079"
"Salamanca","55 a 59 años",28.75,"Hombre","28079"
"Chamartín","55 a 59 años",28.68,"Hombre","28079"
"Tetuán","55 a 59 años",27.26,"Hombre","28079"
"Chamberí","55 a 59 años",28.06,"Hombre","28079"
"Fuencarral-El Pardo","55 a 59 años",29.29,"Hombre","28079"
"Moncloa-Aravaca","55 a 59 años",29.18,"Hombre","28079"
"Latina","55 a 59 años",28.33,"Hombre","28079"
"Carabanchel","55 a 59 años",27.35,"Hombre","28079"
"Usera","55 a 59 años",27.33,"Hombre","28079"
"Puente de Vallecas","55 a 59 años",26.6,"Hombre","28079"
"Moratalaz","55 a 59 años",28.12,"Hombre","28079"
"Ciudad Lineal","55 a 59 años",28.28,"Hombre","28079"
"Hortaleza","55 a 59 años",27.35,"Hombre","28079"
"Villaverde","55 a 59 años",27.47,"Hombre","28079"
"Villa de Vallecas","55 a 59 años",27.44,"Hombre","28079"
"Vicálvaro","55 a 59 años",28.99,"Hombre","28079"
"San Blas-Canillejas ","55 a 59 años",27.11,"Hombre","28079"
"Barajas","55 a 59 años",28.03,"Hombre","28079"
"Centro","60 a 64 años",22.19,"Hombre","28079"
"Arganzuela","60 a 64 años",23.6,"Hombre","28079"
"Retiro","60 a 64 años",25.15,"Hombre","28079"
"Salamanca","60 a 64 años",24.52,"Hombre","28079"
"Chamartín","60 a 64 años",24.29,"Hombre","28079"
"Tetuán","60 a 64 años",22.87,"Hombre","28079"
"Chamberí","60 a 64 años",23.69,"Hombre","28079"
"Fuencarral-El Pardo","60 a 64 años",24.85,"Hombre","28079"
"Moncloa-Aravaca","60 a 64 años",24.74,"Hombre","28079"
"Latina","60 a 64 años",24.16,"Hombre","28079"
"Carabanchel","60 a 64 años",23.24,"Hombre","28079"
"Usera","60 a 64 años",23.18,"Hombre","28079"
"Puente de Vallecas","60 a 64 años",22.77,"Hombre","28079"
"Moratalaz","60 a 64 años",24.01,"Hombre","28079"
"Ciudad Lineal","60 a 64 años",23.98,"Hombre","28079"
"Hortaleza","60 a 64 años",23.28,"Hombre","28079"
"Villaverde","60 a 64 años",23.02,"Hombre","28079"
"Villa de Vallecas","60 a 64 años",23.23,"Hombre","28079"
"Vicálvaro","60 a 64 años",25.13,"Hombre","28079"
"San Blas-Canillejas ","60 a 64 años",22.94,"Hombre","28079"
"Barajas","60 a 64 años",23.97,"Hombre","28079"
"Centro","65 a 69 años",18.71,"Hombre","28079"
"Arganzuela","65 a 69 años",19.3,"Hombre","28079"
"Retiro","65 a 69 años",20.95,"Hombre","28079"
"Salamanca","65 a 69 años",20.14,"Hombre","28079"
"Chamartín","65 a 69 años",20.37,"Hombre","28079"
"Tetuán","65 a 69 años",19.05,"Hombre","28079"
"Chamberí","65 a 69 años",19.46,"Hombre","28079"
"Fuencarral-El Pardo","65 a 69 años",20.77,"Hombre","28079"
"Moncloa-Aravaca","65 a 69 años",20.81,"Hombre","28079"
"Latina","65 a 69 años",20.3,"Hombre","28079"
"Carabanchel","65 a 69 años",19.1,"Hombre","28079"
"Usera","65 a 69 años",19.11,"Hombre","28079"
"Puente de Vallecas","65 a 69 años",18.72,"Hombre","28079"
"Moratalaz","65 a 69 años",19.9,"Hombre","28079"
"Ciudad Lineal","65 a 69 años",19.93,"Hombre","28079"
"Hortaleza","65 a 69 años",19.18,"Hombre","28079"
"Villaverde","65 a 69 años",19.14,"Hombre","28079"
