"district","age","life_exp","gender","municipality_id"
"Villaverde","Menos de 1 año",85.77,"Mujer","28079"
"Villa de Vallecas","Menos de 1 año",85.96,"Mujer","28079"
"Vicálvaro","Menos de 1 año",86.83,"Mujer","28079"
"San Blas-Canillejas ","Menos de 1 año",87.02,"Mujer","28079"
"Barajas","Menos de 1 año",85.69,"Mujer","28079"
"Centro","1 a 4 años",85.38,"Mujer","28079"
"Arganzuela","1 a 4 años",86.21,"Mujer","28079"
"Retiro","1 a 4 años",86.71,"Mujer","28079"
"Salamanca","1 a 4 años",85.82,"Mujer","28079"
"Chamartín","1 a 4 años",86.29,"Mujer","28079"
"Tetuán","1 a 4 años",85.32,"Mujer","28079"
"Chamberí","1 a 4 años",85.36,"Mujer","28079"
"Fuencarral-El Pardo","1 a 4 años",85.49,"Mujer","28079"
"Moncloa-Aravaca","1 a 4 años",85.53,"Mujer","28079"
"Latina","1 a 4 años",86.52,"Mujer","28079"
"Carabanchel","1 a 4 años",85.86,"Mujer","28079"
"Usera","1 a 4 años",85.33,"Mujer","28079"
"Puente de Vallecas","1 a 4 años",84.9,"Mujer","28079"
"Moratalaz","1 a 4 años",86.44,"Mujer","28079"
"Ciudad Lineal","1 a 4 años",86.61,"Mujer","28079"
"Hortaleza","1 a 4 años",86.11,"Mujer","28079"
"Villaverde","1 a 4 años",85.29,"Mujer","28079"
"Villa de Vallecas","1 a 4 años",85.07,"Mujer","28079"
"Vicálvaro","1 a 4 años",85.83,"Mujer","28079"
"San Blas-Canillejas ","1 a 4 años",86.02,"Mujer","28079"
"Barajas","1 a 4 años",85.03,"Mujer","28079"
"Centro","5 a 9 años",81.38,"Mujer","28079"
"Arganzuela","5 a 9 años",82.34,"Mujer","28079"
"Retiro","5 a 9 años",82.71,"Mujer","28079"
"Salamanca","5 a 9 años",81.82,"Mujer","28079"
"Chamartín","5 a 9 años",82.29,"Mujer","28079"
"Tetuán","5 a 9 años",81.32,"Mujer","28079"
"Chamberí","5 a 9 años",81.53,"Mujer","28079"
"Fuencarral-El Pardo","5 a 9 años",81.55,"Mujer","28079"
"Moncloa-Aravaca","5 a 9 años",81.53,"Mujer","28079"
"Latina","5 a 9 años",82.52,"Mujer","28079"
"Carabanchel","5 a 9 años",82.01,"Mujer","28079"
"Usera","5 a 9 años",81.33,"Mujer","28079"
"Puente de Vallecas","5 a 9 años",80.99,"Mujer","28079"
"Moratalaz","5 a 9 años",82.44,"Mujer","28079"
"Ciudad Lineal","5 a 9 años",82.61,"Mujer","28079"
"Hortaleza","5 a 9 años",82.11,"Mujer","28079"
"Villaverde","5 a 9 años",81.41,"Mujer","28079"
"Villa de Vallecas","5 a 9 años",81.07,"Mujer","28079"
"Vicálvaro","5 a 9 años",81.83,"Mujer","28079"
"San Blas-Canillejas ","5 a 9 años",82.02,"Mujer","28079"
"Barajas","5 a 9 años",81.03,"Mujer","28079"
"Centro","10 a 14 años",76.38,"Mujer","28079"
"Arganzuela","10 a 14 años",77.34,"Mujer","28079"
"Retiro","10 a 14 años",77.71,"Mujer","28079"
"Salamanca","10 a 14 años",76.82,"Mujer","28079"
"Chamartín","10 a 14 años",77.29,"Mujer","28079"
"Tetuán","10 a 14 años",76.46,"Mujer","28079"
"Chamberí","10 a 14 años",76.7,"Mujer","28079"
"Fuencarral-El Pardo","10 a 14 años",76.55,"Mujer","28079"
"Moncloa-Aravaca","10 a 14 años",76.53,"Mujer","28079"
"Latina","10 a 14 años",77.52,"Mujer","28079"
"Carabanchel","10 a 14 años",77.01,"Mujer","28079"
"Usera","10 a 14 años",76.33,"Mujer","28079"
"Puente de Vallecas","10 a 14 años",75.99,"Mujer","28079"
"Moratalaz","10 a 14 años",77.44,"Mujer","28079"
"Ciudad Lineal","10 a 14 años",77.61,"Mujer","28079"
"Hortaleza","10 a 14 años",77.36,"Mujer","28079"
"Villaverde","10 a 14 años",76.41,"Mujer","28079"
"Villa de Vallecas","10 a 14 años",76.07,"Mujer","28079"
"Vicálvaro","10 a 14 años",76.83,"Mujer","28079"
"San Blas-Canillejas ","10 a 14 años",77.11,"Mujer","28079"
"Barajas","10 a 14 años",76.03,"Mujer","28079"
"Centro","15 a 19 años",71.38,"Mujer","28079"
"Arganzuela","15 a 19 años",72.34,"Mujer","28079"
"Retiro","15 a 19 años",72.71,"Mujer","28079"
"Salamanca","15 a 19 años",71.82,"Mujer","28079"
"Chamartín","15 a 19 años",72.42,"Mujer","28079"
"Tetuán","15 a 19 años",71.46,"Mujer","28079"
"Chamberí","15 a 19 años",71.7,"Mujer","28079"
"Fuencarral-El Pardo","15 a 19 años",71.55,"Mujer","28079"
"Moncloa-Aravaca","15 a 19 años",71.66,"Mujer","28079"
"Latina","15 a 19 años",72.52,"Mujer","28079"
"Carabanchel","15 a 19 años",72.01,"Mujer","28079"
"Usera","15 a 19 años",71.44,"Mujer","28079"
"Puente de Vallecas","15 a 19 años",70.99,"Mujer","28079"
"Moratalaz","15 a 19 años",72.44,"Mujer","28079"
"Ciudad Lineal","15 a 19 años",72.61,"Mujer","28079"
"Hortaleza","15 a 19 años",72.36,"Mujer","28079"
"Villaverde","15 a 19 años",71.41,"Mujer","28079"
"Villa de Vallecas","15 a 19 años",71.07,"Mujer","28079"
"Vicálvaro","15 a 19 años",71.83,"Mujer","28079"
"San Blas-Canillejas ","15 a 19 años",72.11,"Mujer","28079"
"Barajas","15 a 19 años",71.03,"Mujer","28079"
"Centro","20 a 24 años",66.38,"Mujer","28079"
"Arganzuela","20 a 24 años",67.34,"Mujer","28079"
"Retiro","20 a 24 años",67.71,"Mujer","28079"
"Salamanca","20 a 24 años",66.82,"Mujer","28079"
"Chamartín","20 a 24 años",67.42,"Mujer","28079"
"Tetuán","20 a 24 años",66.59,"Mujer","28079"
"Chamberí","20 a 24 años",66.85,"Mujer","28079"
"Fuencarral-El Pardo","20 a 24 años",66.55,"Mujer","28079"
"Moncloa-Aravaca","20 a 24 años",66.78,"Mujer","28079"
"Latina","20 a 24 años",67.52,"Mujer","28079"
"Carabanchel","20 a 24 años",67.01,"Mujer","28079"
"Usera","20 a 24 años",66.55,"Mujer","28079"
"Puente de Vallecas","20 a 24 años",65.99,"Mujer","28079"
"Moratalaz","20 a 24 años",67.44,"Mujer","28079"
"Ciudad Lineal","20 a 24 años",67.69,"Mujer","28079"
"Hortaleza","20 a 24 años",67.36,"Mujer","28079"
"Villaverde","20 a 24 años",66.62,"Mujer","28079"
"Villa de Vallecas","20 a 24 años",66.07,"Mujer","28079"
"Vicálvaro","20 a 24 años",67.03,"Mujer","28079"
"San Blas-Canillejas ","20 a 24 años",67.11,"Mujer","28079"
"Barajas","20 a 24 años",66.38,"Mujer","28079"
"Centro","25 a 29 años",61.38,"Mujer","28079"
"Arganzuela","25 a 29 años",62.44,"Mujer","28079"
"Retiro","25 a 29 años",62.71,"Mujer","28079"
"Salamanca","25 a 29 años",61.82,"Mujer","28079"
"Chamartín","25 a 29 años",62.42,"Mujer","28079"
"Tetuán","25 a 29 años",61.68,"Mujer","28079"
"Chamberí","25 a 29 años",61.95,"Mujer","28079"
"Fuencarral-El Pardo","25 a 29 años",61.55,"Mujer","28079"
"Moncloa-Aravaca","25 a 29 años",61.88,"Mujer","28079"
"Latina","25 a 29 años",62.58,"Mujer","28079"
"Carabanchel","25 a 29 años",62.12,"Mujer","28079"
"Usera","25 a 29 años",61.55,"Mujer","28079"
"Puente de Vallecas","25 a 29 años",61.04,"Mujer","28079"
"Moratalaz","25 a 29 años",62.44,"Mujer","28079"
"Ciudad Lineal","25 a 29 años",62.69,"Mujer","28079"
"Hortaleza","25 a 29 años",62.36,"Mujer","28079"
"Villaverde","25 a 29 años",61.62,"Mujer","28079"
"Villa de Vallecas","25 a 29 años",61.07,"Mujer","28079"
"Vicálvaro","25 a 29 años",62.03,"Mujer","28079"
"San Blas-Canillejas ","25 a 29 años",62.11,"Mujer","28079"
"Barajas","25 a 29 años",61.38,"Mujer","28079"
"Centro","30 a 34 años",56.38,"Mujer","28079"
"Arganzuela","30 a 34 años",57.44,"Mujer","28079"
"Retiro","30 a 34 años",57.79,"Mujer","28079"
"Salamanca","30 a 34 años",56.82,"Mujer","28079"
"Chamartín","30 a 34 años",57.49,"Mujer","28079"
"Tetuán","30 a 34 años",56.73,"Mujer","28079"
"Chamberí","30 a 34 años",57,"Mujer","28079"
"Fuencarral-El Pardo","30 a 34 años",56.69,"Mujer","28079"
"Moncloa-Aravaca","30 a 34 años",56.97,"Mujer","28079"
"Latina","30 a 34 años",57.63,"Mujer","28079"
"Carabanchel","30 a 34 años",57.12,"Mujer","28079"
"Usera","30 a 34 años",56.55,"Mujer","28079"
"Puente de Vallecas","30 a 34 años",56.16,"Mujer","28079"
"Moratalaz","30 a 34 años",57.44,"Mujer","28079"
"Ciudad Lineal","30 a 34 años",57.73,"Mujer","28079"
"Hortaleza","30 a 34 años",57.36,"Mujer","28079"
"Villaverde","30 a 34 años",56.69,"Mujer","28079"
"Villa de Vallecas","30 a 34 años",56.07,"Mujer","28079"
"Vicálvaro","30 a 34 años",57.03,"Mujer","28079"
"San Blas-Canillejas ","30 a 34 años",57.19,"Mujer","28079"
"Barajas","30 a 34 años",56.38,"Mujer","28079"
"Centro","35 a 39 años",51.46,"Mujer","28079"
"Arganzuela","35 a 39 años",52.44,"Mujer","28079"
"Retiro","35 a 39 años",52.79,"Mujer","28079"
"Salamanca","35 a 39 años",51.87,"Mujer","28079"
"Chamartín","35 a 39 años",52.54,"Mujer","28079"
"Tetuán","35 a 39 años",51.73,"Mujer","28079"
"Chamberí","35 a 39 años",52.05,"Mujer","28079"
"Fuencarral-El Pardo","35 a 39 años",51.72,"Mujer","28079"
"Moncloa-Aravaca","35 a 39 años",51.97,"Mujer","28079"
"Latina","35 a 39 años",52.7,"Mujer","28079"
"Carabanchel","35 a 39 años",52.18,"Mujer","28079"
"Usera","35 a 39 años",51.61,"Mujer","28079"
"Puente de Vallecas","35 a 39 años",51.2,"Mujer","28079"
"Moratalaz","35 a 39 años",52.54,"Mujer","28079"
"Ciudad Lineal","35 a 39 años",52.81,"Mujer","28079"
"Hortaleza","35 a 39 años",52.4,"Mujer","28079"
"Villaverde","35 a 39 años",51.69,"Mujer","28079"
"Villa de Vallecas","35 a 39 años",51.13,"Mujer","28079"
"Vicálvaro","35 a 39 años",52.03,"Mujer","28079"
"San Blas-Canillejas ","35 a 39 años",52.19,"Mujer","28079"
"Barajas","35 a 39 años",51.38,"Mujer","28079"
"Centro","40 a 44 años",46.56,"Mujer","28079"
"Arganzuela","40 a 44 años",47.48,"Mujer","28079"
"Retiro","40 a 44 años",47.9,"Mujer","28079"
"Salamanca","40 a 44 años",46.95,"Mujer","28079"
"Chamartín","40 a 44 años",47.58,"Mujer","28079"
"Tetuán","40 a 44 años",46.76,"Mujer","28079"
"Chamberí","40 a 44 años",47.09,"Mujer","28079"
"Fuencarral-El Pardo","40 a 44 años",46.83,"Mujer","28079"
"Moncloa-Aravaca","40 a 44 años",46.97,"Mujer","28079"
"Latina","40 a 44 años",47.83,"Mujer","28079"
"Carabanchel","40 a 44 años",47.23,"Mujer","28079"
"Usera","40 a 44 años",46.65,"Mujer","28079"
"Puente de Vallecas","40 a 44 años",46.25,"Mujer","28079"
"Moratalaz","40 a 44 años",47.63,"Mujer","28079"
"Ciudad Lineal","40 a 44 años",47.9,"Mujer","28079"
"Hortaleza","40 a 44 años",47.46,"Mujer","28079"
"Villaverde","40 a 44 años",46.69,"Mujer","28079"
"Villa de Vallecas","40 a 44 años",46.13,"Mujer","28079"
"Vicálvaro","40 a 44 años",47.03,"Mujer","28079"
"San Blas-Canillejas ","40 a 44 años",47.23,"Mujer","28079"
"Barajas","40 a 44 años",46.49,"Mujer","28079"
"Centro","45 a 49 años",41.68,"Mujer","28079"
"Arganzuela","45 a 49 años",42.55,"Mujer","28079"
"Retiro","45 a 49 años",43.37,"Mujer","28079"
"Salamanca","45 a 49 años",42.03,"Mujer","28079"
"Chamartín","45 a 49 años",42.7,"Mujer","28079"
"Tetuán","45 a 49 años",41.87,"Mujer","28079"
"Chamberí","45 a 49 años",42.3,"Mujer","28079"
"Fuencarral-El Pardo","45 a 49 años",41.98,"Mujer","28079"
"Moncloa-Aravaca","45 a 49 años",42.07,"Mujer","28079"
"Latina","45 a 49 años",42.93,"Mujer","28079"
"Carabanchel","45 a 49 años",42.33,"Mujer","28079"
"Usera","45 a 49 años",41.79,"Mujer","28079"
"Puente de Vallecas","45 a 49 años",41.47,"Mujer","28079"
"Moratalaz","45 a 49 años",42.88,"Mujer","28079"
"Ciudad Lineal","45 a 49 años",43.11,"Mujer","28079"
"Hortaleza","45 a 49 años",42.6,"Mujer","28079"
"Villaverde","45 a 49 años",41.86,"Mujer","28079"
"Villa de Vallecas","45 a 49 años",41.27,"Mujer","28079"
"Vicálvaro","45 a 49 años",42.14,"Mujer","28079"
"San Blas-Canillejas ","45 a 49 años",42.32,"Mujer","28079"
"Barajas","45 a 49 años",41.59,"Mujer","28079"
"Centro","50 a 54 años",37.12,"Mujer","28079"
"Arganzuela","50 a 54 años",37.77,"Mujer","28079"
"Retiro","50 a 54 años",38.55,"Mujer","28079"
"Salamanca","50 a 54 años",37.25,"Mujer","28079"
"Chamartín","50 a 54 años",37.96,"Mujer","28079"
"Tetuán","50 a 54 años",37.22,"Mujer","28079"
"Chamberí","50 a 54 años",37.43,"Mujer","28079"
"Fuencarral-El Pardo","50 a 54 años",37.2,"Mujer","28079"
"Moncloa-Aravaca","50 a 54 años",37.27,"Mujer","28079"
"Latina","50 a 54 años",38.17,"Mujer","28079"
"Carabanchel","50 a 54 años",37.5,"Mujer","28079"
"Usera","50 a 54 años",37.03,"Mujer","28079"
"Puente de Vallecas","50 a 54 años",36.75,"Mujer","28079"
"Moratalaz","50 a 54 años",38.03,"Mujer","28079"
"Ciudad Lineal","50 a 54 años",38.27,"Mujer","28079"
"Hortaleza","50 a 54 años",37.85,"Mujer","28079"
"Villaverde","50 a 54 años",37.28,"Mujer","28079"
"Villa de Vallecas","50 a 54 años",36.53,"Mujer","28079"
"Vicálvaro","50 a 54 años",37.37,"Mujer","28079"
"San Blas-Canillejas ","50 a 54 años",37.48,"Mujer","28079"
"Barajas","50 a 54 años",36.79,"Mujer","28079"
"Centro","55 a 59 años",32.75,"Mujer","28079"
"Arganzuela","55 a 59 años",33.04,"Mujer","28079"
"Retiro","55 a 59 años",34.03,"Mujer","28079"
"Salamanca","55 a 59 años",32.6,"Mujer","28079"
"Chamartín","55 a 59 años",33.37,"Mujer","28079"
"Tetuán","55 a 59 años",32.54,"Mujer","28079"
"Chamberí","55 a 59 años",32.69,"Mujer","28079"
"Fuencarral-El Pardo","55 a 59 años",32.54,"Mujer","28079"
"Moncloa-Aravaca","55 a 59 años",32.65,"Mujer","28079"
"Latina","55 a 59 años",33.41,"Mujer","28079"
"Carabanchel","55 a 59 años",32.79,"Mujer","28079"
"Usera","55 a 59 años",32.44,"Mujer","28079"
"Puente de Vallecas","55 a 59 años",32.12,"Mujer","28079"
"Moratalaz","55 a 59 años",33.37,"Mujer","28079"
"Ciudad Lineal","55 a 59 años",33.65,"Mujer","28079"
"Hortaleza","55 a 59 años",33.26,"Mujer","28079"
"Villaverde","55 a 59 años",32.5,"Mujer","28079"
"Villa de Vallecas","55 a 59 años",32.01,"Mujer","28079"
"Vicálvaro","55 a 59 años",32.87,"Mujer","28079"
"San Blas-Canillejas ","55 a 59 años",32.85,"Mujer","28079"
"Barajas","55 a 59 años",32.18,"Mujer","28079"
"Centro","60 a 64 años",28.21,"Mujer","28079"
"Arganzuela","60 a 64 años",28.53,"Mujer","28079"
"Retiro","60 a 64 años",29.23,"Mujer","28079"
"Salamanca","60 a 64 años",28.28,"Mujer","28079"
"Chamartín","60 a 64 años",28.95,"Mujer","28079"
"Tetuán","60 a 64 años",28.01,"Mujer","28079"
"Chamberí","60 a 64 años",28.33,"Mujer","28079"
"Fuencarral-El Pardo","60 a 64 años",27.99,"Mujer","28079"
"Moncloa-Aravaca","60 a 64 años",28.19,"Mujer","28079"
"Latina","60 a 64 años",28.87,"Mujer","28079"
"Carabanchel","60 a 64 años",28.15,"Mujer","28079"
"Usera","60 a 64 años",27.88,"Mujer","28079"
"Puente de Vallecas","60 a 64 años",27.54,"Mujer","28079"
"Moratalaz","60 a 64 años",28.91,"Mujer","28079"
"Ciudad Lineal","60 a 64 años",29,"Mujer","28079"
"Hortaleza","60 a 64 años",28.59,"Mujer","28079"
"Villaverde","60 a 64 años",27.87,"Mujer","28079"
"Villa de Vallecas","60 a 64 años",27.38,"Mujer","28079"
"Vicálvaro","60 a 64 años",28.36,"Mujer","28079"
"San Blas-Canillejas ","60 a 64 años",28.42,"Mujer","28079"
"Barajas","60 a 64 años",27.63,"Mujer","28079"
"Centro","65 a 69 años",23.61,"Mujer","28079"
"Arganzuela","65 a 69 años",24.06,"Mujer","28079"
"Retiro","65 a 69 años",24.64,"Mujer","28079"
"Salamanca","65 a 69 años",23.83,"Mujer","28079"
"Chamartín","65 a 69 años",24.48,"Mujer","28079"
"Tetuán","65 a 69 años",23.88,"Mujer","28079"
"Chamberí","65 a 69 años",23.77,"Mujer","28079"
"Fuencarral-El Pardo","65 a 69 años",23.66,"Mujer","28079"
"Moncloa-Aravaca","65 a 69 años",23.53,"Mujer","28079"
"Latina","65 a 69 años",24.6,"Mujer","28079"
"Carabanchel","65 a 69 años",23.63,"Mujer","28079"
"Usera","65 a 69 años",23.54,"Mujer","28079"
"Puente de Vallecas","65 a 69 años",23.25,"Mujer","28079"
"Moratalaz","65 a 69 años",24.29,"Mujer","28079"
"Ciudad Lineal","65 a 69 años",24.59,"Mujer","28079"
"Hortaleza","65 a 69 años",24.02,"Mujer","28079"
"Villaverde","65 a 69 años",23.49,"Mujer","28079"
"Villa de Vallecas","65 a 69 años",22.95,"Mujer","28079"
"Vicálvaro","65 a 69 años",24.42,"Mujer","28079"
"San Blas-Canillejas ","65 a 69 años",23.8,"Mujer","28079"
"Barajas","65 a 69 años",23.21,"Mujer","28079"
"Centro","70 a 74 años",19.15,"Mujer","28079"
"Arganzuela","70 a 74 años",19.75,"Mujer","28079"
"Retiro","70 a 74 años",20.16,"Mujer","28079"
"Salamanca","70 a 74 años",19.47,"Mujer","28079"
"Chamartín","70 a 74 años",20.17,"Mujer","28079"
"Tetuán","70 a 74 años",19.55,"Mujer","28079"
"Chamberí","70 a 74 años",19.46,"Mujer","28079"
"Fuencarral-El Pardo","70 a 74 años",19.25,"Mujer","28079"
"Moncloa-Aravaca","70 a 74 años",19.14,"Mujer","28079"
"Latina","70 a 74 años",20.24,"Mujer","28079"
"Carabanchel","70 a 74 años",19.27,"Mujer","28079"
"Usera","70 a 74 años",19.34,"Mujer","28079"
"Puente de Vallecas","70 a 74 años",19.04,"Mujer","28079"
"Moratalaz","70 a 74 años",19.51,"Mujer","28079"
"Ciudad Lineal","70 a 74 años",20.2,"Mujer","28079"
"Hortaleza","70 a 74 años",19.69,"Mujer","28079"
"Villaverde","70 a 74 años",19.1,"Mujer","28079"
"Villa de Vallecas","70 a 74 años",18.16,"Mujer","28079"
"Vicálvaro","70 a 74 años",19.83,"Mujer","28079"
"San Blas-Canillejas ","70 a 74 años",19.33,"Mujer","28079"
"Barajas","70 a 74 años",19.41,"Mujer","28079"
"Centro","75 a 79 años",15.07,"Mujer","28079"
"Arganzuela","75 a 79 años",15.29,"Mujer","28079"
"Retiro","75 a 79 años",15.78,"Mujer","28079"
"Salamanca","75 a 79 años",15.3,"Mujer","28079"
"Chamartín","75 a 79 años",15.7,"Mujer","28079"
"Tetuán","75 a 79 años",15.78,"Mujer","28079"
"Chamberí","75 a 79 años",15.11,"Mujer","28079"
"Fuencarral-El Pardo","75 a 79 años",15.01,"Mujer","28079"
"Moncloa-Aravaca","75 a 79 años",14.95,"Mujer","28079"
"Latina","75 a 79 años",15.98,"Mujer","28079"
"Carabanchel","75 a 79 años",15.06,"Mujer","28079"
"Usera","75 a 79 años",15.23,"Mujer","28079"
"Puente de Vallecas","75 a 79 años",14.78,"Mujer","28079"
"Moratalaz","75 a 79 años",15.17,"Mujer","28079"
"Ciudad Lineal","75 a 79 años",15.71,"Mujer","28079"
"Hortaleza","75 a 79 años",15.35,"Mujer","28079"
"Villaverde","75 a 79 años",14.76,"Mujer","28079"
"Villa de Vallecas","75 a 79 años",14.15,"Mujer","28079"
"Vicálvaro","75 a 79 años",15.62,"Mujer","28079"
"San Blas-Canillejas ","75 a 79 años",14.94,"Mujer","28079"
"Barajas","75 a 79 años",15.12,"Mujer","28079"
"Centro","80 a 84 años",11.27,"Mujer","28079"
"Arganzuela","80 a 84 años",11.34,"Mujer","28079"
"Retiro","80 a 84 años",11.71,"Mujer","28079"
"Salamanca","80 a 84 años",11.5,"Mujer","28079"
"Chamartín","80 a 84 años",11.79,"Mujer","28079"
"Tetuán","80 a 84 años",11.65,"Mujer","28079"
"Chamberí","80 a 84 años",11.23,"Mujer","28079"
"Fuencarral-El Pardo","80 a 84 años",11.08,"Mujer","28079"
"Moncloa-Aravaca","80 a 84 años",11.04,"Mujer","28079"
"Latina","80 a 84 años",11.83,"Mujer","28079"
"Carabanchel","80 a 84 años",11.36,"Mujer","28079"
"Usera","80 a 84 años",11.41,"Mujer","28079"
"Puente de Vallecas","80 a 84 años",10.95,"Mujer","28079"
"Moratalaz","80 a 84 años",11.4,"Mujer","28079"
"Ciudad Lineal","80 a 84 años",11.98,"Mujer","28079"
"Hortaleza","80 a 84 años",11.38,"Mujer","28079"
"Villaverde","80 a 84 años",10.88,"Mujer","28079"
"Villa de Vallecas","80 a 84 años",10.5,"Mujer","28079"
"Vicálvaro","80 a 84 años",11.27,"Mujer","28079"
"San Blas-Canillejas ","80 a 84 años",11.02,"Mujer","28079"
"Barajas","80 a 84 años",11.84,"Mujer","28079"
"Centro","85 a 89 años",7.74,"Mujer","28079"
"Arganzuela","85 a 89 años",7.99,"Mujer","28079"
"Retiro","85 a 89 años",8.06,"Mujer","28079"
"Salamanca","85 a 89 años",8.01,"Mujer","28079"
"Chamartín","85 a 89 años",8.28,"Mujer","28079"
"Tetuán","85 a 89 años",8.22,"Mujer","28079"
"Chamberí","85 a 89 años",7.82,"Mujer","28079"
"Fuencarral-El Pardo","85 a 89 años",7.66,"Mujer","28079"
"Moncloa-Aravaca","85 a 89 años",7.72,"Mujer","28079"
"Latina","85 a 89 años",8.3,"Mujer","28079"
"Carabanchel","85 a 89 años",8.01,"Mujer","28079"
"Usera","85 a 89 años",7.89,"Mujer","28079"
"Puente de Vallecas","85 a 89 años",7.68,"Mujer","28079"
"Moratalaz","85 a 89 años",8.11,"Mujer","28079"
"Ciudad Lineal","85 a 89 años",8.45,"Mujer","28079"
"Hortaleza","85 a 89 años",7.71,"Mujer","28079"
"Villaverde","85 a 89 años",7.54,"Mujer","28079"
"Villa de Vallecas","85 a 89 años",7.32,"Mujer","28079"
"Vicálvaro","85 a 89 años",7.67,"Mujer","28079"
"San Blas-Canillejas ","85 a 89 años",7.78,"Mujer","28079"
"Barajas","85 a 89 años",8.32,"Mujer","28079"
"Centro","90 a 94 años",5.09,"Mujer","28079"
"Arganzuela","90 a 94 años",5.19,"Mujer","28079"
"Retiro","90 a 94 años",5.26,"Mujer","28079"
"Salamanca","90 a 94 años",5.25,"Mujer","28079"
"Chamartín","90 a 94 años",5.54,"Mujer","28079"
"Tetuán","90 a 94 años",5.48,"Mujer","28079"
"Chamberí","90 a 94 años",4.97,"Mujer","28079"
"Fuencarral-El Pardo","90 a 94 años",4.8,"Mujer","28079"
"Moncloa-Aravaca","90 a 94 años",5.08,"Mujer","28079"
"Latina","90 a 94 años",5.28,"Mujer","28079"
"Carabanchel","90 a 94 años",5.16,"Mujer","28079"
"Usera","90 a 94 años",5.15,"Mujer","28079"
"Puente de Vallecas","90 a 94 años",4.91,"Mujer","28079"
"Moratalaz","90 a 94 años",5.34,"Mujer","28079"
"Ciudad Lineal","90 a 94 años",5.62,"Mujer","28079"
"Hortaleza","90 a 94 años",5.15,"Mujer","28079"
"Villaverde","90 a 94 años",4.9,"Mujer","28079"
"Villa de Vallecas","90 a 94 años",4.75,"Mujer","28079"
"Vicálvaro","90 a 94 años",4.95,"Mujer","28079"
"San Blas-Canillejas ","90 a 94 años",5.25,"Mujer","28079"
"Barajas","90 a 94 años",4.63,"Mujer","28079"
"Centro","95 y más años",3.12,"Mujer","28079"
"Arganzuela","95 y más años",3.08,"Mujer","28079"
"Retiro","95 y más años",3.06,"Mujer","28079"
"Salamanca","95 y más años",3.01,"Mujer","28079"
"Chamartín","95 y más años",3.24,"Mujer","28079"
"Tetuán","95 y más años",3.35,"Mujer","28079"
"Chamberí","95 y más años",3.16,"Mujer","28079"
"Fuencarral-El Pardo","95 y más años",3.25,"Mujer","28079"
"Moncloa-Aravaca","95 y más años",3.16,"Mujer","28079"
"Latina","95 y más años",3.16,"Mujer","28079"
"Carabanchel","95 y más años",3.11,"Mujer","28079"
"Usera","95 y más años",3.24,"Mujer","28079"
"Puente de Vallecas","95 y más años",2.83,"Mujer","28079"
"Moratalaz","95 y más años",2.72,"Mujer","28079"
"Ciudad Lineal","95 y más años",3.37,"Mujer","28079"
"Hortaleza","95 y más años",3.04,"Mujer","28079"
"Villaverde","95 y más años",3.18,"Mujer","28079"
"Villa de Vallecas","95 y más años",3.41,"Mujer","28079"
"Vicálvaro","95 y más años",2.75,"Mujer","28079"
"San Blas-Canillejas ","95 y más años",3.13,"Mujer","28079"
"Barajas","95 y más años",2.48,"Mujer","28079"
